PuzzleId,FEN,Moves,Rating,Title,Themes,Description,Stars,User,GameURL
00008,r6k/pp2r2p/4Rp1Q/3p4/8/1N1P2R1/PqP2bPP/7K b - - 0 24,f2g3 e6e7 b2b1 b3c1 b1c1 h6c1,1877,Pieza Colgada Decisiva,crushing hangingPiece long middlegame,Medio juego intermedio con ganancia decisiva por pieza colgada.,5,Lichess,https://lichess.org/787zsVup/black#48
0000D,5rk1/1p3ppp/pq3b2/8/8/1P1Q1N2/P4PPP/3R2K1 w - - 2 27,d3d6 f8d8 d6d8 f6d8,1501,Ventaja en Final Corto,advantage endgame short,Final corto de nivel intermedio para obtener ventaja posicional.,5,Lichess,https://lichess.org/F8M8OS71#53
0008Q,8/4R3/1p2P3/p4r2/P6p/1P3Pk1/4K3/8 w - - 1 64,e7f7 f5e5 e2f1 e5e6,1355,Ventaja en Final de Torres,advantage endgame rookEndgame short,Final de torres corto donde se consolida una ventaja.,5,Lichess,https://lichess.org/MQSyb3KW#127
0009B,r2qr1k1/b1p2ppp/pp4n1/P1P1p3/4P1n1/B2P2Pb/3NBP1P/RN1QR1K1 b - - 1 16,b6c5 e2g4 h3g4 d1g4,1103,Ventaja Material Apertura Peón,advantage middlegame short,Apertura de Peón de Rey: Medio juego sencillo para ganar ventaja de material.,5,Lichess,https://lichess.org/4MWQCxQ6/black#32
000Pw,6k1/5p1p/4p3/4q3/3nN3/2Q3P1/PP3P1P/6K1 w - - 2 37,e4d2 d4e2 g1f1 e2c3,1422,Tenedor Decisivo en Final,crushing endgame fork short,Final táctico con ataque doble (tenedor) decisivo.,5,Lichess,https://lichess.org/au2lCK5o#73
000Sa,2Q2bk1/5p1p/p5p1/2p3P1/2r1B3/7P/qPQ2P2/2K4R b - - 0 32,c4c2 e4c2 a2a1 c2b1,1537,Asegurando la Ventaja,advantage endgame short,Final de partida para asegurar una ventaja ganadora.,5,Lichess,https://lichess.org/lTTa9lwd/black#64
000VW,r4r2/1p3pkp/p5p1/3R1N1Q/3P4/8/P1q2P2/3R2K1 b - - 3 25,g6f5 d5c5 c2e4 h5g5 g7h8 g5f6,2857,Maniobra Ganadora Gran Maestro,crushing endgame long,Final complejo de nivel Gran Maestro con maniobra larga.,5,Lichess,https://lichess.org/e9AY2m5j/black#50
000Vc,8/8/4k1p1/2KpP2p/5PP1/8/8/8 w - - 0 53,g4h5 g6h5 f4f5 e6e5 f5f6 e5f6,1611,Final de Peones Instructivo,crushing endgame long pawnEndgame,Final de peones instructivo para convertir la ventaja.,5,Lichess,https://lichess.org/l6AejDMO#105
000Zo,4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,e5f6 e8e1 g1f2 e1f1,1353,Mate en Dos Final,endgame mate mateIn2 short,Mate forzado en 2 movimientos en el final.,5,Lichess,https://lichess.org/n8Ff742v#69
000aY,r4rk1/pp3ppp/2n1b3/q1pp2B1/8/P1Q2NP1/1P1TPP1P/2KR3R w - - 0 15,g5e7 a5c3 b2c3 c6e7,1430,Ventaja Posicional Maestra,advantage master middlegame short,Defensa Benoni: Posición de medio juego de partida maestra para ganar ventaja.,5,Lichess,https://lichess.org/iihZGl6t#29
000h0,5rk1/p5p1/3bpr1p/1Pp5/3pR3/1P1Q1N2/P4PPP/4R1K1 w - - 4 22,e4e6 f6f3 g2f3 h5h2 g1f1 h2h3 f1e2 h3e6,2035,Interferencia en Flanco Rey,advantage interference kingsideAttack middlegame veryLong,Ataque al flanco de rey con tema táctico de interferencia.,5,Lichess,https://lichess.org/OWe6M5dF#43
000hf,r1bqk2r/pp1nbNp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 b kq - 0 19,e8f7 e2e6 f78 e6f7,1620,Sacrificio y Mate en Dos,mate mateIn2 middlegame short,Defensa Horwitz: Mate en 2 jugadas en el medio juego tras sacrificio.,5,Lichess,https://lichess.org/71ygsFeE/black#38
000jr,5k2/1p4pp/p5n1/5Q2/3BpP2/1P2PP1K/P1q4P/7r b - - 1 33,f8g8 f5d5 g8f8 d4c5 c2c5 d5c5,2053,Final Largo Aplastante,crushing endgame long,Final largo de nivel avanzado para aplastar al rival.,5,Lichess,https://lichess.org/JgxFj109/black#66
000lC,3r3r/pQNk1ppp/1qnb6/1B6/8/8/PPP3PP/3R1R1K w - - 5 19,d1d6 d7d6 b7b6 a7b6,1391,Cazando la Pieza Colgada,advantage hangingPiece middlegame short,Captura de pieza colgada para obtener ventaja en medio juego.,5,Lichess,https://lichess.org/vaqz2bx6#37
000mr,5r1k/5rp1/p7/1b2B2p/1P1P1Pq1/2R1Q3/P3p1P1/2R3K1 w - - 0 41,e3g3 f7f4 e5f4 f8f4,1957,Ataque Medio Juego Decisivo,crushing middlegame short,Ataque decisivo y contundente en el medio juego.,5,Lichess,https://lichess.org/8sVpuwso#81
